value,label
DEPDC4,DEPDC4
DERL1,DERL1
DGKB,DGKB
DGKI,DGKI
DHRS1,DHRS1
DHX16,DHX16
DHX32,DHX32
DHX9,DHX9
DIAPH1,DIAPH1
DIO2,DIO2
DIRC1,DIRC1
DISP1,DISP1
DLG2,DLG2
DLGAP5,DLGAP5
DLX4,DLX4
DMD,DMD
DNAH12,DNAH12
DNAH9,DNAH9
DNAJA2,DNAJA2
DNAJC28,DNAJC28
DPH3,DPH3
DPM2,DPM2
DPPA4,DPPA4
DRD5,DRD5
DTL,DTL
ECE1,ECE1
ECT2,ECT2
EDDM3A,EDDM3A
EDDM3B,EDDM3B
EEF1A1,EEF1A1
EEF2K,EEF2K
EGR1,EGR1
EHF,EHF
EIF1,EIF1
EIF3G,EIF3G
EIF4A2,EIF4A2
EIF4EBP2,EIF4EBP2
EIF4G1,EIF4G1
EIF4G3,EIF4G3
ELMO1,ELMO1
ELOVL3,ELOVL3
EN1,EN1
EPB41L3,EPB41L3
EPHA5,EPHA5
EPS8L1,EPS8L1
ERGIC3,ERGIC3
ERLIN2,ERLIN2
ESR1,ESR1
ETF1,ETF1
ETS1,ETS1
ETV6,ETV6
EVI2A,EVI2A
EXOC4,EXOC4
EXOC5,EXOC5
EXOC7,EXOC7
EXOSC10,EXOSC10
EZH2,EZH2
EZR,EZR
FAHD2B,FAHD2B
FAM101B,FAM101B
FAM102A,FAM102A
FAM104A,FAM104A
FAM106A,FAM106A
FAM115A,FAM115A
FAM129C,FAM129C
FAM19A5,FAM19A5
FAM211B,FAM211B
FAM21A,FAM21A
FAM221B,FAM221B
FAM230A,FAM230A
FAM27E2,FAM27E2
FAM41C,FAM41C
FAM63A,FAM63A
FANK1,FANK1
FBXL4,FBXL4
FBXO18,FBXO18
FBXO9,FBXO9
FCER1A,FCER1A
FCGR1A,FCGR1A
FCGR3B,FCGR3B
FCHO1,FCHO1
FCRL2,FCRL2
FDXR,FDXR
FEM1A,FEM1A
FFAR2,FFAR2
FGB,FGB
FGF14-IT1,FGF14-IT1
FGF7,FGF7
FIZ1,FIZ1
FKBP9,FKBP9
FLI1,FLI1
FLJ41941,FLJ41941
FN3KRP,FN3KRP
FOXA1,FOXA1
FOXK1,FOXK1
FOXN4,FOXN4
FOXP2,FOXP2
FRG1,FRG1
FRG2B,FRG2B
FRMD4B,FRMD4B
FSD1L,FSD1L
FTH1,FTH1
FTSJ3,FTSJ3
FUBP1,FUBP1
FUBP3,FUBP3
FXYD1,FXYD1
FXYD3,FXYD3
FXYD5,FXYD5
FXYD7,FXYD7
G2E3,G2E3
GABRA2,GABRA2
GABRA5,GABRA5
GABRP,GABRP
GALNT13,GALNT13
GALNTL6,GALNTL6
GATS,GATS
GFRAL,GFRAL
GIMAP1,GIMAP1
GIMAP2,GIMAP2
GIMAP4,GIMAP4
GIMAP5,GIMAP5
GIMAP8,GIMAP8
GLIPR1L2,GLIPR1L2
GLO1,GLO1
GLTSCR2,GLTSCR2
GLYAT,GLYAT
GLYATL1,GLYATL1
GLYATL2,GLYATL2
GLYCTK,GLYCTK
GNA15,GNA15
GNB2L1,GNB2L1
GNG7,GNG7
GNPTAB,GNPTAB
GOLGA2,GOLGA2
GP5,GP5
GPD2,GPD2
GPR126,GPR126
GPR89A,GPR89A
GRAP2,GRAP2
GRIA2,GRIA2
GRID2,GRID2
GSK3A,GSK3A
GSTA1,GSTA1
GSTA2,GSTA2
GSTA3,GSTA3
GSTA4,GSTA4
GSTA5,GSTA5
GSTCD,GSTCD
GTF2I,GTF2I
GTF3C5,GTF3C5
GTPBP4,GTPBP4
GZF1,GZF1
HAMP,HAMP
HAPLN1,HAPLN1
HBB,HBB
HCN1,HCN1
HECW1,HECW1
HERC2,HERC2
HES1,HES1
HES7,HES7
HFE2,HFE2
HILPDA,HILPDA
HIP1R,HIP1R
HIST1H2AG,HIST1H2AG
HIST1H2BJ,HIST1H2BJ
HIST2H2BF,HIST2H2BF
HIST4H4,HIST4H4
HKR1,HKR1
HLA-DQA1,HLA-DQA1
HLA-DRB1,HLA-DRB1
HLA-DRB5,HLA-DRB5
HLA-F,HLA-F
HM13,HM13
HMBOX1,HMBOX1
HNRNPC,HNRNPC
HNRNPUL1,HNRNPUL1
HOOK2,HOOK2
HOXC6,HOXC6
HPCAL4,HPCAL4
HPN,HPN
HPS1,HPS1
HPSE,HPSE
HRH4,HRH4
HSBP1,HSBP1
HSD11B1L,HSD11B1L
HSP90B1,HSP90B1
HTR4,HTR4
ICAM3,ICAM3
ICK,ICK
IDH3G,IDH3G
IDI1,IDI1
IFITM2,IFITM2
IFITM3,IFITM3
IFT172,IFT172
IFT80,IFT80
IGFBP7,IGFBP7
IGSF9B,IGSF9B
IKBKAP,IKBKAP
IL36RN,IL36RN
ILF2,ILF2
IMPG2,IMPG2
INPP5D,INPP5D
INSL3,INSL3
INSR,INSR
INTS4,INTS4
IQGAP1,IQGAP1
IRF2BP2,IRF2BP2
ISOC2,ISOC2
ITFG3,ITFG3
ITGA5,ITGA5
ITIH1,ITIH1
ITPR1,ITPR1
ITPR3,ITPR3
JAK3,JAK3
JUNB,JUNB
